strategy,count,tp,sl,timeout,avg_pnl_pct,avg_r_multiple,winrate,expectancy,expectancy_per_trade_pnl_pct,source_cols,bucket_family,bucket_key,symbol,hour_of_day_bucket
,175,82,89,0,0.0599413981689568,0.0,0.47953216374269003,-0.04093567251461988,0.0599413981689568,symbol,symbol,PIXELUSDT,PIXELUSDT,
,40,19,21,0,0.12000000000000108,0.0,0.475,-0.05,0.12000000000000108,symbol,symbol,POWERUSDT,POWERUSDT,
,40,19,21,0,0.12000000000000108,0.0,0.475,-0.05,0.12000000000000108,"symbol, opened_ts",symbol + hour-of-day,POWERUSDT | -1,POWERUSDT,-1
,168,79,88,0,0.04387264217178564,0.0,0.47305389221556887,-0.05389221556886228,0.04387264217178564,"symbol, opened_ts",symbol + hour-of-day,PIXELUSDT | -1,PIXELUSDT,-1
,46,21,25,0,-0.07391304347826229,0.0,0.45652173913043476,-0.08695652173913043,-0.07391304347826229,symbol,symbol,PORTALUSDT,PORTALUSDT,
,46,21,25,0,-0.07391304347826229,0.0,0.45652173913043476,-0.08695652173913043,-0.07391304347826229,"symbol, opened_ts",symbol + hour-of-day,PORTALUSDT | -1,PORTALUSDT,-1
,144,64,79,0,-0.009229930453202036,0.0,0.44755244755244755,-0.1048951048951049,-0.009229930453202036,symbol,symbol,ARIAUSDT,ARIAUSDT,
,143,64,79,0,-0.009790209790208249,0.0,0.44755244755244755,-0.1048951048951049,-0.009790209790208249,"symbol, opened_ts",symbol + hour-of-day,ARIAUSDT | -1,ARIAUSDT,-1
,172,74,95,0,-0.034650210965763026,0.0,0.4378698224852071,-0.1242603550295858,-0.034650210965763026,symbol,symbol,LYNUSDT,LYNUSDT,
,170,74,95,0,-0.04601757341435888,0.0,0.4378698224852071,-0.1242603550295858,-0.04601757341435888,"symbol, opened_ts",symbol + hour-of-day,LYNUSDT | -1,LYNUSDT,-1
,48,21,27,0,-0.000952251792287547,0.0,0.4375,-0.125,-0.000952251792287547,symbol,symbol,PIPPINUSDT,PIPPINUSDT,
,48,21,27,0,-0.000952251792287547,0.0,0.4375,-0.125,-0.000952251792287547,"symbol, opened_ts",symbol + hour-of-day,PIPPINUSDT | -1,PIPPINUSDT,-1
short_pump_fast0,646,271,360,0,-0.06869330807720908,0.0,0.4294770206022187,-0.1410459587955626,-0.06869330807720908,strategy,strategy,short_pump_fast0,,
,1351,568,761,7,-0.06570029378735273,0.0,0.42738901429646353,-0.145221971407073,-0.06570029378735273,opened_ts,hour-of-day,-1,,-1
short_pump,742,305,416,7,-0.06293556132853756,0.0,0.42302357836338417,-0.1539528432732316,-0.06293556132853756,strategy,strategy,short_pump,,
,314,114,199,1,-0.21213207677541754,0.0,0.36421725239616615,-0.2715654952076677,-0.21213207677541754,symbol,symbol,SIRENUSDT,SIRENUSDT,
,313,113,199,1,-0.2148296933773207,0.0,0.36217948717948717,-0.27564102564102566,-0.2148296933773207,"symbol, opened_ts",symbol + hour-of-day,SIRENUSDT | -1,SIRENUSDT,-1
,22,4,18,0,-0.6545454545454498,0.0,0.18181818181818182,-0.6363636363636364,-0.6545454545454498,symbol,symbol,PYRUSDT,PYRUSDT,
,22,4,18,0,-0.6545454545454498,0.0,0.18181818181818182,-0.6363636363636364,-0.6545454545454498,"symbol, opened_ts",symbol + hour-of-day,PYRUSDT | -1,PYRUSDT,-1
