schema_version,trade_id,event_id,run_id,symbol,strategy,mode,source_mode,side,outcome_time_utc,outcome,pnl_pct,hold_seconds,mae_pct,mfe_pct,risk_profile,details_json
3,20260301_052750_entry_fast_trade,20260301_052750_entry_fast,20260301_052750,HPOS10IUSDT,short_pump,paper,paper,SHORT,2026-03-01T03:54:00+00:00,TP_hit,1.2000000000000064,362.146,0.25698827772768934,1.654643823264199,short_pump_active_1R,"{""timeout"": false, ""tp_hit"": true, ""sl_hit"": false, ""tp_sl_same_candle"": 0, ""conflict_policy"": ""SL_FIRST"", ""use_candle_hilo"": true, ""candle_high"": 0.022075, ""candle_low"": 0.021813, ""path_1m"": [{""t"": ""2026-03-01T03:49:00+00:00"", ""h"": 0.022237, ""l"": 0.02218}, {""t"": ""2026-03-01T03:50:00+00:00"", ""h"": 0.02219, ""l"": 0.022187}, {""t"": ""2026-03-01T03:51:00+00:00"", ""h"": 0.022186, ""l"": 0.0221}, {""t"": ""2026-03-01T03:52:00+00:00"", ""h"": 0.02212, ""l"": 0.02212}, {""t"": ""2026-03-01T03:53:00+00:00"", ""h"": 0.022171, ""l"": 0.022098}, {""t"": ""2026-03-01T03:54:00+00:00"", ""h"": 0.022075, ""l"": 0.021813}], ""alt_outcome_tp_first"": null, ""alt_pnl_tp_first"": null, ""alt_outcome_sl_first"": null, ""alt_pnl_sl_first"": null, ""entry_price"": 0.02218, ""tp"": 0.021913839999999997, ""sl"": 0.0224018, ""entry_time_utc"": ""2026-03-01T03:48:21.044920+00:00"", ""exit_price"": 0.021913839999999997, ""mae_pct"": 0.25698827772768934, ""mfe_pct"": 1.654643823264199, ""hold_seconds"": 362.146, ""details_payload"": ""{\""tp_hit\"": true, \""sl_hit\"": false, \""tp_sl_same_candle\"": 0, \""conflict_policy\"": \""SL_FIRST\"", \""use_candle_hilo\"": true, \""side\"": \""short\"", \""candle_high\"": 0.022075, \""candle_low\"": 0.021813, \""path_1m\"": [{\""t\"": \""2026-03-01T03:49:00+00:00\"", \""h\"": 0.022237, \""l\"": 0.02218}, {\""t\"": \""2026-03-01T03:50:00+00:00\"", \""h\"": 0.02219, \""l\"": 0.022187}, {\""t\"": \""2026-03-01T03:51:00+00:00\"", \""h\"": 0.022186, \""l\"": 0.0221}, {\""t\"": \""2026-03-01T03:52:00+00:00\"", \""h\"": 0.02212, \""l\"": 0.02212}, {\""t\"": \""2026-03-01T03:53:00+00:00\"", \""h\"": 0.022171, \""l\"": 0.022098}, {\""t\"": \""2026-03-01T03:54:00+00:00\"", \""h\"": 0.022075, \""l\"": 0.021813}]}"", ""entry_snapshot"": {""entry_ts_utc"": ""2026-03-01T03:48:21.044920+00:00"", ""entry_price"": 0.02218, ""tp_pct"": 1.2000000000000064, ""sl_pct"": 1.0000000000000053, ""tp_price"": 0.021913839999999997, ""sl_price"": 0.0224018, ""context_score"": 0.55, ""context_parts"": {""stage"": 0.3, ""near_top"": 0.0, ""oi"": 0.0, ""vol"": 0.0, ""atr"": 0.05, ""cvd"": 0.2}, ""stage"": 4, ""entry_mode"": ""FAST_ONLY"", ""liq_short_count_30s"": 0, ""liq_short_usd_30s"": 0.0, ""liq_long_count_30s"": 0, ""liq_long_usd_30s"": 0.0}, ""entry_mode"": ""FAST_ONLY"", ""context_score"": 0.55, ""outcome_time_utc"": ""2026-03-01T03:54:00+00:00"", ""entry_wall_ts_ms"": 1772336901065, ""entry_time_wall_utc"": ""2026-03-01T03:48:21.065Z"", ""outcome_wall_ts_ms"": 1772337263211, ""outcome_time_wall_utc"": ""2026-03-01T03:54:23.211Z""}"
3,20260301_114445_entry_fast_trade,20260301_114445_entry_fast,20260301_114445,SAHARAUSDT,short_pump,paper,paper,SHORT,2026-03-01T09:41:00+00:00,SL_hit,-0.999999999999994,61.457,1.16077384923281,0.0,short_pump_active_1R,"{""timeout"": false, ""tp_hit"": false, ""sl_hit"": true, ""tp_sl_same_candle"": 0, ""conflict_policy"": ""SL_FIRST"", ""use_candle_hilo"": true, ""candle_high"": 0.022746, ""candle_low"": 0.02267, ""path_1m"": [{""t"": ""2026-03-01T09:41:00+00:00"", ""h"": 0.022746, ""l"": 0.02267}], ""alt_outcome_tp_first"": null, ""alt_pnl_tp_first"": null, ""alt_outcome_sl_first"": null, ""alt_pnl_sl_first"": null, ""entry_price"": 0.022485, ""tp"": 0.02221518, ""sl"": 0.02270985, ""entry_time_utc"": ""2026-03-01T09:40:05.627362+00:00"", ""exit_price"": 0.02270985, ""mae_pct"": 1.16077384923281, ""mfe_pct"": 0.0, ""hold_seconds"": 61.457, ""details_payload"": ""{\""tp_hit\"": false, \""sl_hit\"": true, \""tp_sl_same_candle\"": 0, \""conflict_policy\"": \""SL_FIRST\"", \""use_candle_hilo\"": true, \""side\"": \""short\"", \""candle_high\"": 0.022746, \""candle_low\"": 0.02267, \""path_1m\"": [{\""t\"": \""2026-03-01T09:41:00+00:00\"", \""h\"": 0.022746, \""l\"": 0.02267}]}"", ""entry_snapshot"": {""entry_ts_utc"": ""2026-03-01T09:40:05.627362+00:00"", ""entry_price"": 0.022485, ""tp_pct"": 1.2000000000000022, ""sl_pct"": 0.999999999999994, ""tp_price"": 0.02221518, ""sl_price"": 0.02270985, ""context_score"": 0.55, ""context_parts"": {""stage"": 0.3, ""near_top"": 0.0, ""oi"": 0.0, ""vol"": 0.0, ""atr"": 0.05, ""cvd"": 0.2}, ""stage"": 4, ""entry_mode"": ""FAST_ONLY"", ""liq_short_count_30s"": 0, ""liq_short_usd_30s"": 0.0, ""liq_long_count_30s"": 0, ""liq_long_usd_30s"": 0.0}, ""entry_mode"": ""FAST_ONLY"", ""context_score"": 0.55, ""outcome_time_utc"": ""2026-03-01T09:41:00+00:00"", ""entry_wall_ts_ms"": 1772358005673, ""entry_time_wall_utc"": ""2026-03-01T09:40:05.673Z"", ""outcome_wall_ts_ms"": 1772358067130, ""outcome_time_wall_utc"": ""2026-03-01T09:41:07.130Z""}"
3,20260301_230100_entry_fast_trade,20260301_230100_entry_fast,20260301_230100,ALICEUSDT,short_pump,paper,paper,SHORT,2026-03-01T20:33:00+00:00,SL_hit,-0.9999999999999996,181.759,1.1638203668564253,1.0499683744465496,short_pump_active_1R,"{""timeout"": false, ""tp_hit"": false, ""sl_hit"": true, ""tp_sl_same_candle"": 0, ""conflict_policy"": ""SL_FIRST"", ""use_candle_hilo"": true, ""candle_high"": 0.15994, ""candle_low"": 0.15768, ""path_1m"": [{""t"": ""2026-03-01T20:32:00+00:00"", ""h"": 0.15802, ""l"": 0.15713}, {""t"": ""2026-03-01T20:33:00+00:00"", ""h"": 0.15857, ""l"": 0.15769}, {""t"": ""2026-03-01T20:34:00+00:00"", ""h"": 0.1593, ""l"": 0.15858}], ""alt_outcome_tp_first"": null, ""alt_pnl_tp_first"": null, ""alt_outcome_sl_first"": null, ""alt_pnl_sl_first"": null, ""entry_price"": 0.1581, ""tp"": 0.1562028, ""sl"": 0.159681, ""entry_time_utc"": ""2026-03-01T20:31:16.053343+00:00"", ""exit_price"": 0.159681, ""mae_pct"": 1.1638203668564253, ""mfe_pct"": 1.0499683744465496, ""hold_seconds"": 181.759, ""details_payload"": ""{\""tp_hit\"": false, \""sl_hit\"": true, \""tp_sl_same_candle\"": 0, \""conflict_policy\"": \""SL_FIRST\"", \""use_candle_hilo\"": true, \""side\"": \""short\"", \""candle_high\"": 0.15994, \""candle_low\"": 0.15768, \""path_1m\"": [{\""t\"": \""2026-03-01T20:32:00+00:00\"", \""h\"": 0.15802, \""l\"": 0.15713}, {\""t\"": \""2026-03-01T20:33:00+00:00\"", \""h\"": 0.15857, \""l\"": 0.15769}, {\""t\"": \""2026-03-01T20:34:00+00:00\"", \""h\"": 0.1593, \""l\"": 0.15858}]}"", ""entry_snapshot"": {""entry_ts_utc"": ""2026-03-01T20:31:16.053343+00:00"", ""entry_price"": 0.1581, ""tp_pct"": 1.1999999999999924, ""sl_pct"": 0.9999999999999996, ""tp_price"": 0.1562028, ""sl_price"": 0.159681, ""context_score"": 0.55, ""context_parts"": {""stage"": 0.3, ""near_top"": 0.0, ""oi"": 0.0, ""vol"": 0.0, ""atr"": 0.05, ""cvd"": 0.2}, ""stage"": 4, ""entry_mode"": ""FAST_ONLY"", ""liq_short_count_30s"": 0, ""liq_short_usd_30s"": 0.0, ""liq_long_count_30s"": 0, ""liq_long_usd_30s"": 0.0}, ""entry_mode"": ""FAST_ONLY"", ""context_score"": 0.55, ""outcome_time_utc"": ""2026-03-01T20:33:00+00:00"", ""entry_wall_ts_ms"": 1772397076087, ""entry_time_wall_utc"": ""2026-03-01T20:31:16.087Z"", ""outcome_wall_ts_ms"": 1772397257846, ""outcome_time_wall_utc"": ""2026-03-01T20:34:17.846Z""}"
